,Comment
5976,Chị ơi chị hãy quay
5977,Hay quá chị ơi
5978,Chúc các bạn và các anh cj thi học kì thật tốt
5979,Chị Thơ nhảy mắc cười quá
5980,Vậy chị hãy làm thủ thách 12h
5981,Choi truot Tuyết di Chị
5982,no  no em phai di hoc
5983,chị làm vd càng ngày càng hay😍😍😍
5984,Teqm thích chị thơ làm thử thách24h
5985,Em chi o nha thoi bo me em con di lm
5986,Khi nào chị tặng quà vậy
5987,Chậm 11phút thôi mà đã có 8N lượt xem rồi chị ơi huhu
5988,"Có ai thấy chuẩn bị tụi mk sắp thi chưa tui thấy thông báo của chị thơ liền bay vào coi lun nhưng do bận quá trễ mất 1 ngày rùi
Bn nào sắp thi coi video mới nhất của chi thơ chắc chắn sẽ thành công như mong đợi giỡn thui mà ko biết nhưng nhớ học bài nha"
5989,chi oi sao chi khong lam video ket qua anh tieu bao bao bo nha ra di a
5990,Cac ban hay co gang hoc tap tot nhe cho ba me vui nua chu nghi he chung ta se dc choi thoai mai luon minh chuc cac ban hoc tot nhe
5991,1 vé là bao nhiêu vậy chị
5992,Chị không ngãi hả có nhiều con nít mà
5993,ban nao biet dia chi ko??
5994,"Ai đọc được comment này thì chúc các bạn được điểm 9, 10 nhé. Don't câu like. ( đon câu lai)😂😂😂"
5995,5:40 ông già Noen tội qá... Lúc nào cũng lau chùi 😂😂
5996,nhìn anh tiểu bảo bảo giống luffy gê ahihi
5997,Tro choi nay vui qus chi oi
5998,"em yeu chi 
nhung hom qua em bi me boi"
5999,Fanpekka và kidzooona ( cái nào vui hơn)
6000,có bạn nào sắp thi lên lớp 6 ko
6001,Chúc các bạn thi tốt nhe
6002,Em chơi ở đây rồi nè chị :)>
6003,Siêu siêu siêu siêu siêu siêu siêu thích luôn
6004,Ước gì em cũng đc tới đấy
6005,Chị Nguyễn thơ ơi chị không sợ độ cao à
6006,Chị thơ sương qúa
6007,Chị Thơ Nguyễn ơi em nghĩ lể
6008,S c thơ Nguyễn rành qa hen
6009,1/5  ngay sinh nhat cua em
6010,Ai xem som điem danh
6011,"Chị cute quá 
😍
😃😄"
6012,Hi chị 😄😄😄
6013,chi thơ nguyễn sinh gái ghe em mà gặp được chi là em vui suốt đời học hành không bị áp lực nữa
6014,Ai fan thơ nguyễn like
6015,Đẹp 💯💯 quá
6016,Chị thơ cư sử mặc đồ cách buộc tóc như con nít
6017,Chị làm sao mà làm công chúa.
6018,40 độ có được vào không nhỉ
6019,Vé vào khu vui chơi là bao nhiu 1 người vậy mọi người ???
6020,xem PAW PATROL cứu Cá Mập dưới biển nè.
6021,em thích
6022,Chị ơi quả dâu thật hả
6023,What
6024,Dia chi o dau vay chi
6025,Chị thơ ơi ngày hôm qua lúc sáng thứ sáu em có hội thi RUNG CHUÔNG VÀNG💋💋💋
6026,Nay chị thơ mập vậy
6027,Chi ơi em ở Hà Nội cơ
6028,Sắp thi rồi chúc các bạn thi tốt nhé ♡♡♡
6029,Chị thơ giàu quá
6030,Ở đâu vậy chi thơ
6031,"Ai chưa thi học kì điểm danh 
👇👇"
6032,"■■
             ■ ■
             ■■
■■■■■
■■■■■
■■■■■"
6033,Ai thi r like cái coi
6034,Nghi xong la thi roi chi oi
6035,Tuổi chị Thơ dựa vào đây.
6036,Chị Nguyễn  chỗ  đó ơ đâu vậy
6037,Em xem sớm chỉ sao 19N thôi 😂😂
6038,Em thì về que chơi
6039,Nhà chi thơ nguyễn ở đâu vậy?
6040,"Ui , hoa quả thật hay giả vậy"
6041,Thích quá chị thơ ơi 😍😍😍😙
6042,Chi Tho de thuong qua
6043,má coi mà chóng mặt
6044,"Yêu chị Thơ, Tbb thúi"
6045,Hôm nay chị xinh quá 😍
6046,Em thích lúc cuối cùng vì nó hay hơn
6047,Lúc nào chị làm video thử thách 24h nhé chị
6048,Chi tho nguyen lam thu 24h trong se TBB thui nao
6049,6tr sub mà nói chuyện chẳng khác còn khùng.
6050,Thấy thông báo em vô liền
6051,9:27 Chị thơ đúg hồn nhiên luôn 😚😚😚😊
6052,24h trog du thuyền của e😭😭😭
6053,Ở Do là 🐶
6054,😀
6055,😀
6056,Hay
6057,CHỊ HÃY LÀM THỬ THÁCH 24 GIỜ
6058,Chị thơ sướng thật
6059,Chi tho oi!em nhan tin nhan cho chi nho gui tin nhan cho em nhe
6060,Chị ơi dâu đó ăn được ko
6061,Chị ơi chị nghe bài hát hôm qua em đốt nhà chưa chị
6062,ai yeu chi tho diem danh
6063,"hoan hô em nghỉ được 5 ngày lun nè thứ 7 ,chủ nhật, thứ 2,3,4 lun"
6064,Chúc các bạn thi điểm cao
6065,Anh TBB ko chơi à 😐😐
6066,Fan xem trễ 1 ngày
6067,Chị sướng quá ạ
6068,Chị Thơ ơi khu vui chơi này nằm ở đâu vậy
6069,chi oi 1_5 là ngày sinh nhật của em nè
6070,Em là team cua chi lâu rôi ma sao không duoc chi tha tim
6071,minh chuc nhung ban nao like cau nhan xet nay thi hoc ki 2 duoc 9 10 diem con ban  nao ma ko them doc cung ko them like thiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiduoc 0 diem ahii dua ti thoi ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
6072,Chị Thơ Nguyễn không biết nhảy nhảy như khùng
6073,Em thi duoc di nui va ha tien
6074,Uoc j minh dc di fanbekka
6075,Chị ở đâu vậy
6076,Chị để tóc như z xinh quá
6077,Hay nha😀😀
6078,Đắt quá chị ơi
6079,Chi oi chi hay lam thu thach 24h
6080,Chào chị 👋👋👋👋👋👋
6081,Chi oi ngay thoos bay ngay 27 em d i choi het
6082,em ở quận tân phú  nè
6083,Ai như tới hônnnn😁😁 thấy thông báo là bấm vào liền... Ahihi 😍😍😍😂
6084,chị Thơ cute quá 😍😍😍😍😍😍😍😍😘😘😘😘😘😘😘😘
6085,Em cũng được nghỉ
6086,Bao nhiêu một vé vậy ạ
6087,bao nhiu 1 vé v chị
6088,Đúng là con thơ toàn bán đồ đắt cho ah tiểu bảo bảo thôi đồ ham tiền
6089,Chi tho bi dien roi choi tro choi em be 3 tuoi
6090,Team thi xong học kì 2
6091,thiếu rồi chị ơi chị em cần phải làm bài ôn thi như núi Làm đề ôn thi lên núi luôn
6092,chi oi nieu chi ve thi co ban se chim ngoi nha cua chi ngep do
6093,6:28 luffy bị truy nã hơn 1 tỉ rồi mà chị
6094,Sao chị không cho anh TBB lên sóng
6095,Qua bong bay cao thi nho hoi que mua ghe😆😞
6096,Có ông tây lun
6097,Chị thật sướng quá !
6098,Em di roi
6099,Khu vuoi Choi nay da qua
6100,Chi thơ nhảy dễ thương quá
6101,Ai 2k8 giơ tay nà
6102,I love tho nguyen cho minh 1 like
6103,Em chán vì Em không ₫i
6104,"Có ai gần thi ko 😊
Có thì chúc các bn thi tốt nhá 😇"
6105,ve vao cong la bao nhieu vay chi
6106,Sắp thi hc kì II rồi.chúc các bn thi tốt nha
6107,Wow! Vui quá vui quá de de (-_-)
6108,Ai sắp thi cuối kì điểm danh
6109,Chị cute quá chị thơ như trẻ con vậy hahahihi
6110,Hôm nay e đc nghỉ và ở nhà ôn bài sml
6111,Em thấy cj thú vụ còn e ko thấy thú vị chút nào
6112,Em được nghỉ một tuần
6113,Thơ ngáo ngơ
6114,Chj thơ dễ thương quá
6115,Những tiểu yêu dễ thương quá
6116,Hay qua chị
6117,Chúc các bạn thi tốttt nha các bạn nào thi rồi mình chúc các bạn được điểm cao
6118,Chi oi thuc hien 24h o trong cai nha do di chi
6119,Em dang buon vi cha me khong co dan em di choi 😁
6120,Chi Thơ hôm nay đẹp qúa
6121,Bn nài thi chưa mìn thì rồi
6122,Chị thơ ko ngại à
6123,Chi oi di tam bien voi anh tieu baobao di em se cho chi 10 000 000 lai
6124,Muồn ròi😂😂
6125,Em chan bao gio dược di choi
6126,Chị Thơ xinh quá
6127,Video này thú vị quá
6128,O đâu  vây chi .
6129,Lau roi e moi xem clip cua chi
6130,19
6131,em yêu chị nhiều
6132,Chị thơ nguyễn
6133,"Em chưa thi học kỳ luôn chị ơi, hic hic. Ai chưa thi giống mình điểm danh? Chúc các bạn thi được toàn điểm 10 rực rỡ! Bạn nào tặng mình 1 like sẽ được toàn điểm 10."
6134,Người like thứ 1N
6135,Yêu chị thơ
6136,Team được nghĩ lễ 5 ngày điểm danh
6137,Em được nghỉ 5 ngày
6138,Duoc nghi hoc ở nha coi video đã luon
6139,Hay
6140,em yêu chị quá
6141,Chi oi mung 1 thang 5 la sinh nhat cua em
6142,Thật tuyệt vời em rất iu cj
6143,Đẹp thế nhở🤩🤩🤩
6144,Aeon Tân Phú khai trương vào ngày 26/4/2019
6145,Em đuoc nghi 5 ngay
6146,Chị thơ suong qua hom nay ne
6147,Vui quá chị ơi 😍😍😍😍♥️♥️♥️♥️
6148,Em xem muộn vì vừa mới học về
6149,❤❤❤❤
6150,Chị mập lên
6151,Nghỉ học kệ mẹ tao
6152,em thi xong roi nen duoc di choi
6153,chi thu thach pha ke di
6154,Em uoc gi cung duoc nhu chi
6155,em chi o nha chi o dau vay
6156,Hay wá hihi😘
6157,Chị ơi chị chơi simsimi
6158,Team nghi hoc toi thu 5
6159,Thây thông bao la em xem 😍😍😍😍😍
6160,Chắc kì này phải ra shop chị Thơ mua đồ thôi
6161,chi oi thu thach 24gio di
6162,Nhìn chị chơi vui ghê ☺️☺️☺️
6163,Chúc mọi người thi học kỳ được điểm cao nhe
6164,Chi oi em sap thi ki 2 roi
6165,Đã quá chị😄
6166,Chơi  ngó chị ạ
6167,"Cai gi may cung quay het ma con chanh cho nua chu
Bai dat the nay roi the no ma con ko cho anh tieu bao bao choi nau chu
Tiem buon ban cua may co ngay se bi pha san thoi con ngu
May tuong may dep la may co quyen a
Cai bo mat that cua may xau lam"
6168,OMG
6169,Hấp dẫn quá bạn ơi
6170,em rat thich khu vui choi nay em da tung di khu vui choi nay l love you chi tho ❤❤❤❤❤❤❤❤❤❤❤❤❤
6171,Khu vui chơi đó ở đâu thế chị
6172,Chị thơ Đáng yêu quá
6173,"Team xem trễ giống mình (điểm danh) 😥😥😥😥😥
[]
[]
[]
\/"
6174,"Có ai xem sớm ko ạ
👇🏻👇🏻👇🏻"
6175,Team chẳng bao giờ được ai like .😭😭😭 ahuhu .
6176,Sao chị không làm video cho Thồn😊😊😊😊😊😊😊😊😊😊☺️😊em ấy dễ thương quá 😍😍😍😍
6177,"Nhìn trong ảnh, chj và anh tiểu bảo bảo ngầu quá😍♥️❤"
6178,mô hình NARUTO của chị Thơ Nguyễn trong tay TBB thúi luôn rồi 😱
6179,Em muốn chơi anh chơi với anh TTBT nữa đâu😗
6180,Thách chị 24 giờ trong wc không cần đồ ăn chỉ có 1 chia nước mà thôu
6181,Chị ơi hãy làm các ô kệ nhiều màu rồi nhắm mắt lại sau đó đoán ô kệ màu gì nếu đoán đúng thì mới được dùng.
6182,Yêu chị Thơ Nguyễn
6183,anh tiểu bảo bảo thúi là con đắng ghét nhất thế gian
6184,"Hay quá chị ơi 
En cho chị 1 like"
6185,"yeu chi tho nguyen💖💞💝💗
👇👇👇"
6186,Anh tiểu  bảo bảo đúng là đáng ghét
6187,Thấy thông báo là bay vào liền mà nhiều người coi quá
6188,Tang chi mot like 👍
6189,Chị thơ dùng iPhone đúng ko chị 📱📱📱
6190,Chị Thơ dạo này dễ thương và xinh nhỉ mọi người. Mình muốn chị Thơ làm thử thách 24h quá
6191,Chị Thơ oi a tbb choi ban the
6192,Chị ơi chị hãy làm tiếp phá kệ Nhưng mà là phiên bản Tokyo ghou
6193,Vệ sinh bánh xe làm e cứ tưởng là.......à mà thôi 😂😂😂
6194,Chào chị thơ yêu dấu của em
6195,Long👙👙
6196,"Chị ơi,chị l̀m video về chủ đề troll ik ạ"
6197,A hi!hi!
6198,Chị Thơ dễ thương kìa. Ai đó hãy giúp chị ấy đạt thật nhiều sub + like cho chị ấy làm video càng nhiều nhé ❤❤❤
6199,Làm hư đồ của anh Tiểu Bảo Bảo mà còn hống hách it like chị luôn
6200,chi bi len bao roi
6201,"Chị thơ chạy phiêu quá ta
      Ngầu quá ❤chị"
6202,Cha mẹ chị đâu
6203,Em cũng có hai loại đồ chơi một mo hình nnấuto và một mo hình xe nữa đó chị
6204,Coi trê 46 giây😫😫😫😭😭😭
6205,"like so 3 cmt dau nek cj oi
em co dc khen kg a"
6206,Hay quá
6207,Có ai xem sớm hông nè 😍😍😍😍😘😘😘😘😘
6208,anh tbb dang ghet
6209,"Chị ơi,em hỏi chị 1 câu thật đó tại sao lúc nào chị cũng làm video hay hết vậy!CHỊ THẬT TUYỆT VỜI,IU CHỊ THƠ CUTE NHIỀU LẮM!😙💋❤"
6210,Chi tho choi spinner di chi 👍🏻👍🏻
6211,"Có ai xem trễ giống em hk nếu có thì like cho em ak theo dấu mũi tên
| |
| |
\/"
6212,chi sac bin di
6213,Chị ơi bộ đồ chơi này chị biết bán ở đâu không. Thik quá. Các bạn có thể ghé kênh mình để xem trải nghiệm thực tế cực thú vị cho bé nhé
6214,xin that
6215,Chị Thơ Nguyễn chi làm thử thách 24h
6216,"chị Thơ ơi, em cực thích mấy cái thử thách 24h lun! chị làm thêm nhé!"
6217,Bo bo xi TTB
6218,"Hay quá cj ơi 
Xem đầu"
6219,Chào cả nhà
6220,Chị thơ dễ thương quá 😍😍
6221,"Ai command thì mình tang 1 sub nhé






Congratulation ban da command thì may man ca nam"
6222,"anh tiểu bảo bảo ác quá
chị ấy đã tặng anh tbb món quà thế mà anh tbb lại còn lấy bộ naruto trong khi chị thơ chỉ được mượn có 2 tiếng
em nói thật nhé




càng ngày em càng ko thích anh tbb"
6223,Chị ơi chị vừa ra thì em đã bật xem rồi
6224,Đầu chị ơi like đầu luôn chị ơi
6225,Chị cố lên chị tho em tin tưởng vào khả năng của chị  tho nha
6226,trời ơi chị Thơ và anh TBBT cực ngầu
6227,chị ơi sao chị ko làm thử thách 24h
6228,Chị ơi chị thực hiện thử thách 24h nhaaaaaaa ❤️❤️❤️
6229,"Taem iu video chj  thơ điểm danh đê 
👇"
6230,Chị ơi chị chơi giỏi quá😄
6231,Anh tiểu bb thật đáng ghét
6232,Đã quá chị ước mơ chỉ là mơ ước
6233,"Chỉ hư 1 chiếc xe thôi mà anh Tiểu Bảo Bảo lấy của chị Thơ con heo mà chị yêu thích nhất
Ai thấy đúng cho 1 like nha 😅😅😅"
6234,Chị ơi làm xe nửa nha ai thich👇🏻
6235,Hay quá chị ơi 😍😘
6236,Ai xem đầu cho một like nha cô bác
6237,chào chị thơ em xem đầu
6238,"m xem trễ và các bạn nào yêu chị nào 
👇👇👇👇👇👇"
6239,hello cj
6240,Tiểu bảo bảo thúi đáng gét
6241,Em xem đầu nè chị 😂😘
6242,Ai muốn chị thơ làm thử thách 24 giờ thì cho mình một like
6243,Anh Tiểu bảo ác quá
6244,Like
6245,thị thơ nguyễn hương dẫn cho em làm răng rơ miệng
6246,Helo chị thơ Nguyễn
6247,Tuy ko xem đầu nhưng vẫn mãi yêu chị thơ❤❤
6248,Em nghĩ chiếc xe đó hư một ti ti ti  thôi chị hãy thả tim cho em nhé và các bạn khác👍👍👍☺☺☺
6249,"0 lượt xem 
154 lượt like 
11 bình luận 
Wwwwwwwwwwwwwhat"
6250,"I love you so much!!!
ai đồng ý thì điểm danh :)))"
6251,Đẹp quá chị ơi
6252,"Chị thơ hãy làm thử thách 24 h
👇👇"
6253,Chị tho nguyễn choi ân gian
6254,Ko biết cj có lấy lại đc heo ko nhỉ
6255,Chị thơ Nguyễn hôm nay dễ thương quá
6256,Chị Thơ Đẹp quá à
6257,Số người quý thơ Nguyễn 👇👇👇
6258,"360p , 0 lược xem :V , cmt 49 , coi sớm này :D"
6259,Chị thơ giỏi quá xếp được số 8
6260,Em chúc chị được nút kim cương sớm
6261,Da va chi tho oi
6262,Fan Chị Thơ ❤Mình Xin Chúc Các Bạn 2004 Tốt Nghiệp🖐!!! Mn ủng hộ kênh mình vs ạ mất 3 kênh rồi . Chỉ mới 16t
6263,Ai thấy chị thơ càng ngày càng xinh ko 😘😘😘
6264,Like
6265,Like
6266,Bộ đó đó chị mua ở đâu vậy chị thơ
6267,Ai zô đây vì ảnh bên ngoài jơ tay nà😲😤😆💓😚😙😍😗💋💋💅
6268,Lần đầu tiên xem video sớm
6269,Fan chị thơ nguyễn xin đẹp điểm danh cái đê ❤💞💝💜💛💓💕💖💗💙💚💛💜
6270,Anh túi bbtui thiếc là đang get
6271,"Thoạt nhìn tưởng a tbb có cơ bắp nv
Giật cả mình"
6272,Oa 0 lượt xem mà những 55 like. Kênh thơ nguyễn đúng là thần kì 🤣🤣
6273,Ai đồng ý Cj thơ lm thử thách 24h ik
6274,Em là Tô Vũ Vlogs 16t ạ!!mọi người giúp em đạt mốc 3k sub nhe!năn nỉ ạ!!!!!++~
6275,Nhìn ảnh cj và a tbb cool ngầu wóa
6276,Ai muốn gặp thốn thồn và thộn giơ tay
6277,"Chị ơi chị làm video về thồn,thốn và thộn đik em nhớ 3 bạn ấy quá"
6278,Du me may
6279,Chị ơi em xem trễ rồi😞😭
6280,Anh tieu bao bao va chi tho dung gian nhau nua
6281,Anh tiểu Bảo Bảo sấu sa
6282,Ko bt xem thứ mấy nữa nhung hôm nay xem som la vui roi
6283,Số like đạt đc trong video này.    bằng số like theo hàng nghìn
6284,1
6285,Anh Tiểu Bảo Bảo thúi c***
6286,Trò này hay quá chị ơi 👌👌👌
6287,"Bắt đền chị thơ, đã mượn của anh Tiểu Bảo Bảo còn làm hư. Thấy ghét😞😖😣🙁. Không biết ai đáng ghét nữa đây mà nói người ta đáng ghét, ý kiến riêng."
6288,Bô đô choi nay chăc măc lăm🤔
6289,Ai biểu chị làm hư
6290,Chị thơ ơi thử thách dùng lại nha chị
6291,Ai là phan của chị Thơ Nguyễn thì nhớ nhấn like nhé
6292,Chị xếp thành số 8 lun
6293,Muộn 2 phút mà thua 2000 người lận
6294,like cho chị Thơ Ngáo Ngơ 100000 like luôn
6295,Team chị Thơ thực hiện thử thách 24h
6296,Vừa nhận thấy thông báo chạy vàomà chậm 73 người
6297,Chị Thơ ơi em thường chi qua
6298,Toi rat ghet chi
6299,Chị Thơ ơi chị cho em thẻ được không chị
6300,Anh TBB ác quá 🤣🤣🤣
6301,Ai thấy chị thơ ko cố ý làm hỏng xe ô tô của anh tiểu bảo bảo  giơ tay 🤚🤚🤚💓👋👋
6302,Chao đoi sup ( đăng kí ) nhé
6303,Sao k 1 video nào của chị thơ là k có 👎 vậy
6304,Mới 15 phút mà đã nhiều lượt xem và nhiều like thế rồi
6305,anh tiểu bảo bảo chơi gian
6306,"Ai thấy chị thơ nguyễn dễ thương
Thì like , chia sẻ và đăng ký giúp chị ấy nhé"
6307,Chị thả tim cho em nha chị siêu cute
6308,anh tbb thúi kì quá
6309,Dung dua vs chi tho nguyen .xinh gai😛😅😄😍🤗😡
6310,"Chi tho cute qua a
Cj buoc toc the nay sieu xinh lun"
6311,Lần đầu em xem sớm
6312,Kì lạ thật mình vào xem là 73 lượt xem nhưng ấn nhầm video khác quay lại là hơn 2 nghìn
6313,Chi lam video chang co gao guc
6314,Tội nghiệp chị thơ ghê
6315,"Các bạn đừng ấn đọc thêm




Ấn rồi thì nhớ cho mình 1lke nếu ai yêu chị thơ😍😘☺️☺️😘😃😚"
6316,"chithonguyenoihaythuthach24h
songtrengiuong"
6317,"Mk thấy rằng, tuy mk là fan mới của chị Thơ nhưng mk đã xem lại các video của chị mk thấy chị làm rất hay và rất thân thiện những video mà cùng chơi với Thộn,Thốn,Thồn thì mk thấy chị Thơ rất yêu động vật, các video của chị đều hay và lầy lội mk thấy chị còn rất thương fan những đồ Popin Cookin mà các bn ko thể có chị ý đã mở shop để các bạn cùng mua và đc gặp chị Thơ chị Thơ rất tốt bụng đúng ko nào? Mk thấy chị Thơ đúng là đẹp người đẹp nết mong chị Thơ đọc đc Comment của em. Em rất em chị Thơ!"
6318,Em khong chơi với anh tieu bao bao nua
6319,Chị hãy thực hiện thử thách 24 giờ
6320,"Ai fans cj Thơ thì... 💞
👇"
6321,Xem sớm :333
6322,Chị ơi chị thả tym cho em nha
6323,anh xau tinh qua anh tieu bao bao
6324,Mình nhất chiếc xe của đối thủ hay của mình  đươc ko chị
6325,vừa thấy kênh chị báo hiệu video  em coi liền lun á
6326,Fast and forius là ph em thích nhất
6327,Phận là con gái chưa bao giờ được 2 like nhìn về tương lai mà thấy cô đơn
6328,Hay quá chị ơi
6329,Ai yêu chi Tho Nguyen do tay
6330,Em cũng thích bộ đồ chơi đó
6331,Em nghi choi anh tiêu bao bao nua đâu anh quay phim choi ăn gian
6332,"Team xem đầu điểm danh 
👇👇👇👇👇👇👇👇👇👇"
6333,I love you thơ nguyễn 💓💓💓
6334,C ơi em ở dakmil này :)))...
6335,chắc là măc lắm chị thơ ha
6336,Ai vừa xem vừa xem bình luận điểm danh
6337,Mới có 1 tiếng sao nhiều người bấm like ko thích thế
6338,Ai cũng có nhiều like mà em chĩ có hai like mà thôi có ai tháy đúng không nào niếu có ai tháy đúng hãy nhấn nút nha 😤😡😡😡😡😡😥
6339,May ban oi kêu chi tho lam 24 gio được k
6340,"Anh TBB thúi nhìn cái hình của video chắc là tự tin về body của mình lắm nhờ(cơ bắp cuồn cuộn)......mà ngoài đời thì :""Voãi""🤣🤣
Chưa bao giờ được like, like từ thiện thui cũng được nha mấy chế🙏🏻🙏🏻😂😂"
6341,Chao chi
6342,anh tbb la do vo duyen
6343,"Dám chửi tao bảo mà.   
Nghiệp báo.  Thơ Nguyễn. ông trở 
Trần Bảo Bảo nha.    Ăn táo táo❌
Trò chơi chơi cổ vợ bảo
Trần thép Bảo Bảo nha.     😍     😊"
6344,Chị ơi chị làm thử thách 24h bấm nút dưng lại
6345,I love chị thơ mãi là fan của chị
6346,🤗🤗
6347,em cứ tưởng chị lấy lại bộ đồ chơi đấy chứ
6348,Anh tieu bao bao vo duyen qua
6349,Chị thơ nguyễn thối tha
6350,xem đầu điểm danh nha
6351,Kkkk
6352,Anh Tiểu BẢO BẢO thúi đáng ghét
6353,Kkkk
6354,đây thấy hay like nha😙
6355,Dạo này em học hành nhiều nhiều quá nên ko được xem video của chị
6356,Bảo đúng là đồ đáng ghét Đồ vô duyên Đồ vô duyên thúi Đồ vô duyên mất dịch ích kỷ còn vô duyên là bạn bè chị thơ cũng đã phải mua và trao đổi với các em nhỏ rất nhiều thẻ mà tôi bảo sao lấy con heo của chị thơ và còn lấy bộ Naruto nữa ra em sẽ nhắn tin nhắn cho tất cả các bạn thành viên của kênh thơ Nguyễn không chơi với anh nữa Giờ tất cả các bạn và viên đó sẽ cũng nghĩ như em là đủ nha Tiểu Bảo Bảo ra khỏi tên thôi Đồ vô duyên thúi từ bao bảo thúi vô cùng đáng ghét vô duyên thúi
6357,Hôm nay buồn 😞 tự nhiên xem video của chị em thấy vui hơn 1 chút rùi 😅
6358,anh tiểu bảo bảo thúi đáng ghét ko m.n
6359,Anh tiểu bảo bảo thui kì quá
6360,Chị  ơi  cho nay hay qua
6361,Ê mày chơi dở làm cho người ta tự kỉ rồi kìa mày con làm líp à
6362,chị Thơ vừa xinh đẹp lại vừa đáng yêu
6363,Hi 💙💙💙💙💙💙
6364,Anh tieu bai bao dang ghet
6365,Ailà người xem đầu tiên nè
6366,"Hôm nay em xem chậm 32 phút rùi!
Nhưng chị video chị Thơ đã được 396 nhận xét, 21.312 view, 2.254 like, 124 dislike"
6367,Em thay anh TBB hoi coa dang roi
6368,Anh tbb vo duyen qua
6369,Chị ơi hình như bây giờ chị ra video hời ít
6370,Chi làm thu thach làm slime voi anh tieu bao bao nha chi
6371,"chị ơi sao bây giờ chị không cho thộn, thốnvà thồn lên video nữa vậy, em thấy nhớ quá à."
6372,Yêu chị like 30 nà
6373,Chị ngầu thế 😎😎😎😎
6374,Tội chị thơ
6375,Chi chi thu slime duoc không chi tho love you
6376,"Sắp được 6 triệu lượt sub rồi kìa chị 
Chúc mừng chị nha ❤❤❤"
6377,TBBT ĐÁNG GHÉT. TỘI NGHIỆP CHỊ THƠ
6378,Anh tbb that la qua dang .Chi co mot chiec xe nho vay thoi ma cung  lay mot con heo😟😟😟😟😟😟😟😟😟😟😟😟😟😟😟😟😟😟😟😟😟😟😟😟😟😟😟😟😟😟😟
6379,Chị ơi mua bộ này bao nhiêu tiền vậy chị
6380,Chị thả ♥ cho em
6381,Chào chị em xem siêu muộn
6382,Anh tbb choi an giang lay heo cua chi tho haaaaaaaa😤😤😤😤😤😤😤
6383,Chac bo do choi nay dat lam chi nhi ai giong minh thi binh luan duoi nhe🥇🥇🥇🥇🥇🎖🎖🎖🎖🎖🎖🎖🎖🎖⚘⚘⚘⚘⚘🌷🌷🌷🌷🌷
6384,Chị thơ đẹp ghê 😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍💮💮💮💮💮💮💯💯💯💯💯💯💯💯👍👍👍👍👍👍👍👍👏👏👏👏
6385,chi oi 2 cai kia dau
6386,hôm qua có bạn em nó cứ khoe nó được 60 like em thì ko cao hơn nó nên anh chị giúp em hơn nó
6387,trolllllllllllllllllllllllllllllll di chi
6388,hi cj
6389,ghét TBB thúi yêu thơ nhất
6390,Chi thơ nguyễn oi chị hai lam 24h giờ d
6391,Chị ơi sao chị không đang video mỗi ngày vậy
6392,Chị thơ dô diên
6393,E muốn cho a tiểu bảo bảo chơi chung hà huhu
6394,A tieu bb dang ghet cho choi 2 tieng thi sao vui lai con doi nua .. E noi nhu vay ko phai chui a dau ma e chi noi the thoi
6395,"0 lượt xem 50 người thik, 1 người hok thik"
6396,Sao chị thơ Nguyễn sinh như vậy
6397,anh tieu bao tai sao lay heo dat cua chi tho anh dung la do dang get
6398,Team cũng xem trễ 😢😢
6399,- Hello cả nhà :v add fb e với nefv💔
6400,thấy cũng tội nhưng thôi cũng kệ
6401,"Chị ơi em thấy trong ảnh nền video chị ghép mặt vào thì khá OK nhưng Anh tbb thì ko hợp với cơ bắp  chị 
*vì ai fan cứng cũng biết Anh tbb ko  có cơ bắp"
6402,Chị thơ ơi chị đang yêu quá
6403,Chị đẹp quá à
6404,Ai thây  chi thơ nguyen đáng yêu điêm danh
6405,Wow bộ đồ chơi đẹp quá
6406,Chị ơi có youtube  Anh Trương chửi chị đó
6407,Hay qua chi o
6408,Anh TBB kì quá!
6409,Luc truoc Cung LA xe cua Cj tho r xe cua a tbb Hong a tbb lai doi den
6410,Fan Yêu quý của chị Thơ Nguyễn đâu nào Xem là fan Yêu quý chị Thơ có nhiều không ta
6411,Con heo đó có tiền không chị
6412,Em ghet chị thơ nguyễn
6413,Chị ơi chị hảy chơi Fire Fier
6414,Kì thi cuối học kì 2 ai đạt điểm cao thì điểm danh
6415,Team xem sớm nhưng chưa bao giờ đc chị Thơ tym
6416,thơ cùi bắp
6417,Em gét anh tiểu bảo bảo thúi
6418,Tổng đài cứ đăng xấu về chị hoài
6419,anh tieu bao bao thui ki qua
6420,"Thơ Nguyễn giờ đẹp hơn trước 
Ai thấy vậy điểm danh"
6421,Mong chị ❤️
6422,"chị thơ ơi, chị dấu chị shy đâu mất rồi ?????????????"
6423,Em muon chi lam vi dô vê naruto
6424,So I'm not like him because cheek tell me what you want you can call or do you teach to him with the seller said📲
6425,Ai là fan của chị Tho (điểm danh)
6426,sao hôm nay thấy chị thơ xinh nhỉ
6427,:<
6428,Chi oi chi hay lam mot liep do Choi chu heo sieu diep vien di chi
6429,3 ngày nữa là sinh nhật của em
6430,"❤ Kênh thơ nguyễn💞
➡️ Vui❤
➡️ Bổ ích❤
➡️ Cj thơ dễ thương và xinh đẹp❤
➡️ Em iu cj ❤
👉 Em tặng cj 1 like ❤"
