,Comment
2702,Sao a ko tát vào mặt nó vài cái nữa có sao đâu cái loại đánh đàn bà như nó ai mà chú ý làm gì ạ đấm nát mặt nó ra cũng chả ai nói
2703,"thằng này gặp đội sin dubai là xong mày con ạ, thái độ láo toét"
2704,đáng lẻ phải đập nó mạnh hơn
2705,"A bình làm ơn giúp ba nội kiếm cháu lê ngoc hạnh 15,,,,093970625,,,nguyễ thị lang kiếm cháu bà bán vé xin xong mổi ngay ,nhờ mấy giup dum a binh ,,cưng đầukhôn bà"
2706,Chắc hàng này be de
2707,Gặp tao là khỏi nói nhiều
2708,"Lần đầu tiên thấy đội anh Hải đánh người.
Mà cái này tôi ủng hộ 2 tay 2 chân luôn.
Mấy thằng này hết sài"
2709,Com bo ko đủ dame a ơi..
2710,quen thẳng nghiên cho đáng đờicon  gái
2711,"Khoái câu anh đi xe này đúng hông kkk
 uk đó làm gì nhau kêu chặn đường hả"
2712,Xong mày gòi
2713,Thg nay nguy hiểm đấy nó o sợ đâu
2714,Thằng này gặp hiệp sĩ là tắt điện rồi ....
2715,Cai loai thg nay chj co dem ra dao song voi khj thoi chu noi nO nge j
2716,Tao ghét nhất thể loại này...ước gì tao có thể đi ngang wa lúc đó...gặp cảnh này chắc mềm mình với tao
2717,Đâp vô cái đầu nó
2718,Vừa tắt máy quay la bi đánh sml rồi. Ai nghĩ giống mình ko like...
2719,Ko biết thằng này đã lành lạng lại chưa nữa.  Kết thúc video là nó đi ko nổi rồi
2720,Sao ko đánh nó chết mẹ nó đi du ma nó
2721,còn đi yêu vs đương đc.. đúng là ngu hết chỗ nói
2722,nhìn cặp mắt thằng này có khả năng gây án chả chơi .
2723,Cai di me.danh phu nu ma con xao lon .tao muon chui no.nhung so khau nghiep . Con di me may.thang cho an cuc. Day tao da rat so khau nghiep. Gap tao la dap cho may khong con cai rang an cuc.du ma thu may bu lon chua ranh .ma bay dat danh phu nu
2724,"người dân bây giờ thay CA làm nhiệm vụ còn CA thì rảnh rổi đi móc túi dân và áp bức cướp đất của dân, chả hiểu xả hội bây giờ ra làm sao nửa"
2725,Dap chet me no luon di lao toet
2726,Dm quen người ta chi ruồi đánh đập ức chế thiệt chứ còn thua con chó nửa
2727,Tướng giống sì ke :))
2728,Đm bật bật đập chết mẹ đi
2729,ánh mắt đầy sát khí.
2730,No ma trả thù roi lo ma mua hàng đó làm như a hải là ok luon tui xem mà tui còn nóng nữa mà
2731,"may gap Hai, con nuong tay , may gap nguyen Sin la may het lao"
2732,Một cái vả là quá nhẹ cho thằng này
2733,Co lip đánh nó k a
2734,"ông anh ra tay rất dứt khoát, nhanh, gọn, lẹ... 
triệu like cho ông anh..."
2735,"Danh nó thêm cái nữa di a, cho nó diều Hai ben"
2736,Cú đấm giống của cú nockout của nguyễn sin nhưng yếu quá.
2737,Đã có án mạng rồi đóa ae
2738,Th. Lon đá chết con me no
2739,Thằng này phải tra tấn chết mẹ nó
2740,Dung de bo may thay bo may thay la bo lay tiet nge con thang lon .khong suong lam  đàn ông
2741,"Hâm mộ a hiệp sĩ quá, chú người dân đánh z là quá nhẹ rồi chú ơi. Sao chú ko lấy cây sắt thọt cho banh họng nó"
2742,Nó bị bệnh Đao đó nhìn ngố ngố
2743,Tội đồng hương bình thuận quê tôi  😢
2744,"Đàn ông nói đừng chỉ tay, thấy có chấp nhận du cậu là người tốt"
2745,"Gặp cháu thì nó xác định luôn chứ không nói nhiều đâu, hỏi bảng số xe hả. Tao lấy dao lam rạch vào người mày số xe tao với số nhà tao luôn cho mày dễ tìm, xong tao cắt đứt gân tay gân chân mày thôi 😏😏😏"
2746,binh thuong la quay dua ve cong an roi moi tat  ma h moi quay toi do la tat thi thang do xong phim no don ai thay minh noi dung xin 1 like
2747,Tắt camera nên cho nó một trận để nó biết thế nào là bắt nạt
2748,Yêu làm mu hết rồi làm gì mà phải về thằng đang ông chó như vậy thiếu gì đang ong đàng hoàng chia tay sớm đi cho bớt khổ
2749,Về với mẹ đi ở với nó có ngẦy nó giết chết
2750,Thang nay phai danh cho no Chet Me no di cac Ban Hiep Si.
2751,"100% máu trâu bò gì á, ko phải máu người, nhìn mặt thấy v rồi, tôi chị đó, sống trong lo sợ ko à"
2752,Đánh phụ nữ . Gặp t . T cho m lên bàn thờ ngồi
2753,Thằng nay phải massage nhẹ cho nó rồi hả giao cho công an
2754,"đụ con người ta dập cả âm đạo, giờ đánh dập mũi nữa, cắt mẹ cu"
2755,"Nhìn mặt thằng này không thích,tội nghiệp cho em gái này ghê"
2756,NGẦU LÒI
2757,May e gai oi ...khi quen 1 nguoi dan ong hoac bo 1 moi tinh nao thi hay xem soi cho ki...ban than minh k thuong minh thi k ai thuong minh ca..dung mu oan theo loi ngon ngot  ma k suy nghi .
2758,Tội cho e quá.chi cũng là phụ nữ chị thương e lắm.dan og xin ra có sức khỏe hơn phụ nữ dễ chăm lo cuộc sống để cho vợ con GĐ đc hạnh phúc.chu đâu như nhưng thằng vu phu xin ra để làm khô phụ nữ đánh đập . nhưng thag như z chết 💯 lần ko ai thương tiết
2759,"Cái a tán thằng đó đàn bà vl, yếu ớt lắm hay s mà ko cầm nổi cái bàn hay cái ghê mà phan chết mịa nó đi a, tán nó làm gì đau cả tay"
2760,Anh ơi em khuyên anh á anh ko đánh ng ta như vậy . Anh đấm vô mặt nó chứ đánh v thấm vào đâu
2761,Dan vn bay gio thich  bao luc qua' ha ?
2762,Tắt máy quay vả Cho thằng áo vàng mấy phát nữa đi
2763,1:05 tua lại gần nghìn lần rồi... cho ảnh  vả chết cụ  thằng ml  đó đi :v
2764,"Hiệp Sỹ này là những người có tâm, đã góp phần công sức cho dân được nhờ, thật đáng ngưỡng mộ."
2765,"Cái thằng đàn bà này mày may mắn lắm bị anh Hải bắt đó chứ bà chị này mà người thân tao thì nhẹ nhàng xin hai cái hàm răng mày nhẹ nhàng 
Nể anh Hải và đội thật"
2766,Than cho nay nhjn mat con nao lon thui moi dua cho no đụ
2767,ae xã hội đâu. sử đẹp thằng này. không cho nó có đất sống.
2768,Trời ơi. Cô gái khai. Nó nhìn cô gái thật ₫áng sợ. ₫ừng thả nó ra . Hok ổn cho cô gái rồi. Cái mặt nó sắc lạnh. Ghê quá.
2769,anh đánh nhe quá. gặp e là e đập chết mẹ nó rồi. a đi xe này phải hok
2770,Nhieu clip tao xem hop li .co clip tui bay wa xam luon.
2771,Doi nhieu chuyen hay wa. Lo ve quan giao gia dinh kia.nguoi ta danh ban gai nguoi ta chu co danh ong noi tui bay ha ma ra mat sao lon.
2772,Nhìn mặt là biết nó khùng rồi. Thứ vũ phu đấm nó vừa rồi
2773,"thằng này kiểu như "" lần sau để tao gặp tao giết m chêt"", rồi con hỏi ông hiệp sĩ xe này của anh hả, tính trả thù hay gì"
2774,A bộp nó nhẹ quá a ơi!!!
2775,mốt hok có đánh ta nữa nghen.... A hải ngọt như mía lùi ấy... kkkk nó Dạ mà lòng nó ko phục.
2776,e o binh thuan o doan nao vay e
2777,nha ban nay truoc ben Tan Thoi Hiep      than kinh ko duoc tot        nha ngheo lam        Ba thi lam tren Can Nhon Hoa  hiep binh phuoc       theo minh nho la vay   vi cung dc 8 nam roi     unikey ko dow ve dc     ae thong cam
2778,"Tôi nói thật nhé 
Hoan hô hành động của các a hiệp sĩ nhưng tư dưng tát nó nv tôi ko đồng ý, ông có cái quyền gì mà tát nó??? Bố nó chắc gì đã tát nó? Nó ăn trộm nhà ông ah? Nó chửi ông àh?"
2779,Dm dap chet no di
2780,"Đàn ông đánh phụ nữa, rồi đàn ông đánh đàn ông mà nó lại như vậy thì có đáng để đánh cho nó một trận không anh em"
2781,Nó cười kìa bụp nó
2782,Thứ con gái như nó đi làm đy tốt hơn
2783,Mày có cái loz gì tốt đẹp hơn thằng đó
2784,Anh đi xe này đúng ôn . Hỏi làm cc j . Tắt máy làm liền nè . Đéo đợi m hỏi đâu :)
2785,"Đập chết mẹ nó cho rồi nhìn mặt thấy ghét, bày đặt hăm dọa anh đi xe này phải không, cho nó gãy mũi luôn"
2786,Nhìn giống ngáo ma túy
2787,"Trời , ko xem đc cảnh oánh gãy xườn nó 😕 đánh gãy răng nó đi chú ơi -,-"
2788,Cặp đôi áo xanh
2789,Danh ji it vay.đâm no them vai đâm nưa mơi vưa.nhin cai măt kênh thây ko ưa
2790,Toi dang o sai gon em gai coi Chung toi nay no giet em do anh hai rang bao ve em gai do cam on cac anh nhieu
2791,Đánh vk là đéo ra cc gì r
2792,Tên này nhìn lì vãi ^^ anh hải quá nhẹ nhàng mà mặt tên này căng ghê
2793,Thg này gặp a sin là ngon cơm rồi :))
2794,"Co chong con lai cap bo , cai gia phai tra . Con thang cho do danh phu nu nen cho no cai theo de no nho doi ma sau nay ko con nguoi phu nu khac bi no bao hanh nu , hay lam Hai oi !"
2795,Dam cho no ma dam dap vao co hong no may cai cho no so. Nhin la biet no se tra thu roi. Dua cai mat la mun dam
2796,Đánh nó mà mat lòng quá co tao cũng đánh chết mẹ mày luôn
2797,"Dm đánh chết mẹ nó đi , cái mặt ngêng , đanh con ngta gẫy mủi xưng mặt , dm tao mà có ở đó chết mẹ mầy , bạn trai thôi có quyền gi đánh , cha mẹ nó anh em nó biết dc mầy khó sống đó nhé thằng lồn"
2798,đấm hơi nhẹ quá... phải rãy mấy cây răng mới vừa bụng tội ng phụ nữ ráy sóng mũi....
2799,Coi nhiều lần nhìn ngứa mắt thật
2800,Dung roi biet an thoi nho hiep si moi binh yen
2801,"Công an đâu, mẹ gì mà doạ nhẹ dữ vậy???
Nhìn vậy mà tha được, nể"
2802,Cái than ma danh thần trong video la thần Sao lin
2803,Hiệp sỉ sao lonnn thi có
2804,Then này khuôn mặt ánh mắt đáng sợ thật
2805,Biết là việc làm của những hiệp sĩ này là tốt. Nhưng cũng không được đánh người công khai tung lên mạng như vậy?? Như vậy để cho thanh niên giờ bắt chước bạo lực đánh người thì sao? Ai chịu trách nhiệm cho thế hệ trẻ noi theo đánh người là đúng à. Cái gì cũng phải văn minh. Nếu đã xác định đánh người thì đừng tung lên mạng sẽ tốt cho xã hội
2806,Đập bỏ mẹ nó thằng áo vàng
2807,"Bé đó là e gái tao,,, thì mày chỉ có ăn cức nha con chó."
2808,Cho nó thêm vài tát nữa...
2809,Hiệp sỹ chứ ko fai ông nội nghe. Can thiệp thì đc. Chứ ko có quyền đánh ng ta.
2810,Đánh chết mẹ nó đi mấy a ơi
2811,Anh hải dang hoang qa
2812,Nó hỏi anh đi xe này phải không là nó mà ra được nó sẽ kiếm xe đó trả thù
2813,Mặt thằng này phải đập cho nó 1 trận cho biết... nó yêu thương gì đâu.
2814,Có ai thấy anh Hải bậm môi mấy lần ko 😂. Dừng camera thì thằng này nó thở cũng hơi khó khăn...
2815,Thằng này nhìn nó sát khí đằng đằng lun đó bà con ơi. Cặp mắt nó như ng mất hồn r
2816,"Thằng này quen với em nào thì thế nào cũng có án mạng rất nguy hiểm ,xã hội nên nhốt nó vô chuồng không lại tiếp tục hại em khác , nhìn thằng này y như tâm thần phân liệt, sao em lại quen nó, phải có người bảo vệ em ấy không thì thằng biến thái này nó lại gây tổn thương mạn sống vật sức khoẻ chả em gái này, mấy em nhớ mặt thằng này và tránh xa nó ngay, tâm thần phân liệt"
2817,"Hiep si cai lon que

May thang ngu"
2818,Cái mặt thần kinh cở thằng này. Thi có nước đưa súng vô đầu nó ak.
2819,Dkm ở đầu ra bay giờ còn có cả mấy thể loại bắt cướp. Chúng may lông hành quá. Bọn công an ăn với học về để làm gì vậy. Xem mà bức xúc wua vậy
2820,Thần này khi máy quay tắt rồi cũng là lúc nó mềm mình .
2821,Cương cương ... Đcmm gặp tao thì m đi bán muối rồi con !!!
2822,Gặp nguyễn sin là chết mẹ
2823,Đập thang đó đi anh hai ơi  bộ tu nó
2824,"Trời ơi em gái ơi sao mà biết vậy cứ quan hệ với thành phần bất hảo chi cho khổ vậy, hiểu không nổi"
2825,Coi video mà ức chế k biết hồi kết sao chứ a kia nói mai mốt k đánh nữa nhe. Bữa sau về nó đánh con đó k trượt phát nào.
2826,"a đi xe này fải ko ,  định hỏi r cho đồng bọn hay là chặn đường đập người ta à.  có đúng là đi xe đó đi nửa m củng dám làm con cặc gì người ta hay hok. mà mày hỏi . con chó ạ   để có dịp tao đi qua binh dương gập m thử xem m bản lảnh cở nào ."
2827,Thag này  láo.  Gặp  thằg  sin heo nái  là  nó  đánh  đúng
2828,mẹ.. t ko nhậu co nhõ nào đàng hoàng wen.. no toan wen th say xĩn
2829,Ông sin gặp là thằng này gãy răng
2830,Danh chet me no thang khon nang
2831,XOng việc đưa nó vô chổ vắng đập cho má nó nhìn hỏng ra luôn
2832,Dm lone này gặp tôi có đó đấm cho nằm
2833,Ong chua nay nhin mat thay li roi?
2834,"Cái thằng bồ đập đá nhiều quá rồi, nhìn nó ngáo vl"
2835,Thằng này gặp a sin là ăn đấm tại chỗ k trược phát nào
2836,Hóng clip 44 anh em cho nó không còn răng
2837,"A hải ạ. Nếu vô tình a đọc dc cmt này. Mong a sẽ xử lý triệt để thứ biến thái này. Vì khi a đi khỏi, nó ko để yên cho cô gái kia đâu. Em nói chân tình. Vì em ko biết cô ấy ở đâu ? Chứ nếu biết em sẽ phụ mấy a 1 tay ."
2838,Đánh vào măt manh lên cho chêt me no
2839,Nhìn  mật thần này láo gập tâu đập chết mẹ nó rui
2840,Đập chết mẹ nó luôn đi nó đánh phụ nữ con vậy hỏi a kia đi xe này để nó trả thù chứ j
2841,Xao có nhiều thằng khốn nạn quá z
2842,bình thuận quê t ở
2843,Làm mờ hình người nữ anh ơi
2844,Thằng mất dạy hỏi cái giọng ... anh đi xe này phải không... tao suất 1 phát chết quá
2845,Toi nghi co be .cam on may a da ra tay giup ..e co luu so dt lai rui .vi e hay di 1m lay hang quan ao si ve ban .e luu so a de e bi gi e goi a ..
2846,Ban mặt thằng đo thấy rét con nhỏ đo suy tinh nên bị đánh si tình không si nghỉ có câu chiem khôn lựa canh mà đâu thấy thằng vụ phu  bo chạy mau
2847,"vcl nói lm lz ji . mẹ mai mốt nó giết con này luôn vcl
 thứ này ns lm.lz ji"
2848,dap het thang nay di.doi mat luu manh qua
2849,Sao không đấm cho nó mấy phát nữa các anh
2850,Nó hỏi a đi xe này fk. Nghe mùi biết sẽ chơi lại a đó . cẩn thận nha a
2851,Loại này phải đấm liên tục vào cái bản mặt lol của nó
2852,nó mà gặp tao địt mẹ tao đám bẻ hàm răng nó ra
2853,"A ji đánh thang này a cẩn thận nhé a, đánh tay đôi nó đánh ko lại, nhưng nó trong tối a ngoài sáng, ko biết đc nó âm mưu ji đâu, a cẩn thận nhé"
2854,máu lạnh nhe bà con
2855,Mặc thấy mắt chém chết mẹ nó
2856,Đâp bo me thăng cho chêt nay không oan .
2857,cái mặt như cái lone đánh chết nó. Súc vật bịnh.
2858,Đập chết mẹ thằng chó đó có tao ở đó là ăn đòn liền  😡😡
2859,"May ong nay cai j ma lm qua .viet Nam con luat ma ,dau toi phien may than nay ."
2860,Em o mien bac nhung rat ham mo cac anh em chuc cac anh luon co that nhieu suc khoe
2861,"Nhìn mặt thấy bố láo r , đánh đập phụ nữ là hèn hạ k chi bằng"
2862,Cho lo di trai di .chu ko cai lưu kua lo giet con nguoi ta mot .do ma moi yeu ma danh con nguoi ta gay ca song mui
2863,Sợ n trả thù @@ bà kia lại chịu thiệt :((( khổ thân
2864,Còn không vậy mọi người
2865,Nhìn mặt đúng láo
2866,Dam cho no chet me ln di dan ong ma dah phu nu hen
2867,đập nó cho vừa
2868,1 cái bóc quá đả kaakkakaka
2869,Đm mặt láo vl s k đập lun đi a
2870,Nó cứ hỏi ông kia đi xe gì để nó trộm đấy 😌
2871,Ủng hộ hiệp sĩ
2872,Dm lại còn dọa ..sut2 chet me di
2873,Đánh nó có một cái mà nó còn chieu không nổi mà nó đánh phụ nữ như vậy
2874,Tg này có vấn đề về tâm thần.Mọi ng nhìn cử chỉ của nó thì bk
2875,Anh anh là hiệp sỉ nguyễn thanh hải hả ...ha..hớ hớ
2876,Xúc vật.
2877,Em nghĩ .. em nghĩ .. lol này nói chuyện nghe ứa vl. Đập vỡ mồm chết mẹ nó a ơi.
2878,Khuôn mặt lộ rõ một tên mau lạnh va nham hiểm
2879,Việc của nhà người ta mày lo cả đời dc ko
2880,Đánh bỏ mẹ nó đi mặt nó cứ vênh lên
2881,nhìn mặt đã thấy bố láo oy
2882,Con di ngu bi danh do vua hết ngựa vay ta bo di quen lam.j
2883,Cai mat no côn đồ co nay xui roi bỏ ko dc
2884,Đội hiệp sỹ nên che mặt ng dân lại.
2885,Có full clip k a ơi
2886,Dứt khoát thì đụ mẹ dễ dàng. Có cc gì đâu mà đeo bám không dứt được. Má. Yếu đuối vc .
2887,Đá cm nó chứ tán nó chi
2888,cai mat thang do thay ge qua do ngu
2889,Một phần do phụ nữ hk thui
2890,Ông hiệp Sĩ nhiều chuyện giuu thiet
2891,"Dap thang ban Trai cho gay song mui luon. Dan Ong danh Vo o My bo tu ; nhin Thanh nien om nhom va thieu nang luc, quen lam gi 

May co o vay cho khoe con hon gap thang vu phu

Thang nay giong con nghien"
2892,Nhìn thấy thằng này là muốn đập một trận... bắt nó đi cải tạo vài năm...
2893,Coi chừng nó đâm
2894,Nhìn cái mặt thằng đó câng câng muốn quánh thêm quá à
2895,Du ma đàn  ông  mà  đánh  phụ  nữ  là  đồ  hèn  mầy  ngo  đánh  thử  mấy  tháng  ở  xom  coi  coi mầy  có  bản  lĩnh  như  thế  nào
2896,Sao không che mờ mặt cô kia lại
2897,"Thấy đấm 1 phát mà t đã ds,sao video hay mà quay ít vậy A"
2898,Thag ao xanh dam bao k đu dây. Thag đjên
2899,Thag ao xanh dam bao k đu dây. Thag đjên
2900,Những video ý nghĩa này mà ít người theo dõi vậy. Lên chia sẻ nhiều ae ơi. Cho các hiệp sĩ thêm kinh phí hoạt động giúp ích cộng đồng.
2901,Đm nghênh đập chết mẹ nó
2902,Re re
2903,Ủng hộ a hải .nguong mộ a gê luôn .toàn lam viec thiện vì xả hội
2904,"Thang nay ma tha nó về, bảo đam no giet co gai nay ngay"
2905,Còn cười đc mà :v
2906,Giang hồ lên ngôi???¿
2907,"Ok đồng ý thằng này đánh phụ nữ là hèn hạ, nhưng thằng lợi dụng việc này để vả vào mặt tên này còn hèn hơn"
2908,Dcm nhìn kĩ ánh mắt nó đi nhìn mắt nó lúc đó trong tay nó mà có con dao là nó đâm loạn xạ r đấy
2909,Chắc chán tat may quay lên Ca là mẻ xương
2910,Thằng đó k bình thường... Như bị tâm thần v đó
2911,ngu du vay bj danh ma cug deo thag do gjo khoc
2912,Nhìn thằng ml này ngứa càng thật
2913,Số phận con vợ sao rồi a
2914,Cái câu chú kia nói hay wá (tao đi đường tao thấy mày đánh phụ nữ tao đánh mày  luôn)
2915,T hận người đánh thằng này...vì đánh nhẹ quá..Gặp t mà nó hỏi xe này hả. T đập chết mẹ nó luôn...
2916,Phải đánh anh Hải ạ
2917,"Moa oi nhin mat no muon dap no mot cai ,om ma bay dat ra gio"
2918,Nhìn nó ngáo đá quá chú ơi
2919,Thang nay ma gap nguyen sinh la xing roi
2920,nhin mat no lao ca qua
2921,Thằng đánh mày là bồ mới của người yêu mày đó Thang cho
2922,Đụ mẹ. Tắt clip đi là chết mẹ nó. Thứ mất dạy.
2923,Con đĩ mẹ nó.có tao ở đó thì mày khỏi hỏi anh đi xe nào tao cho xe lăng ngồi
2924,Mình thấy giúp ko tới nơi thế này khổ cô gái kia nữa...chỉ nói chuyện thôi ko làm j...và cái thái độ của nó như vậy..thử hỏi khi mấy anh đi .nó sẽ làm j cô gái kia
2925,Coi mà tức cho chị kia
2926,Mặt thằng này sinh ra để giết người rồi
2927,Ủng hộ các anh xử mấy thằng cô hồn này.
2928,Gặp anh hải thôi . Gặp thằng sin nó đánh cho mảy rớt bộ hạ
2929,con ủng hộ chú Hải 2 tay 2 chân luôn
2930,Hết lip dân cho nó một trận a
2931,Hiền quá anh Hải ơi.
2932,Gặp tui tất diện thoại óc ao nó một hồi
2933,Mình cũng like cú vào mặt tên vũ phu .
2934,Gap tao đấm vô mặt chết me no
2935,Địa chỉ thằng này ở đâu nhỉ ai biết cho mình xin cái địa chỉ
2936,ngu chet di cho chua cai toi
2937,Đập bỏ mẹ nó đi
2938,gặp t là chết con gái mẹ thằng đó r
2939,Dm k dộng vô họng cho nó chết mẹ nó
2940,A nào đánh nó là e ok
2941,Thần tượng a hãi thật
2942,"Cái ông đi đường cẩn thận nhé người hung hăn chắt sẽ có người trị , quơ quơ có ngày nó ôm sẵn hung khí thì sao ... Chết vì cái tội kém suy nghĩ ."
2943,A Hải hay lắm a. Chúc a có nhiều sức khỏe
2944,tôi có mt câu hỏi tn là tôi thách ai lm cho thằng này rơi nước mắt loại này muốn nó so nó chừa thi phải trói nó lại cắt từng miếng thịt thì may ra nó chừa
2945,Thằng này nc mà còn tỏ thái độ nữa. Nếu ko chừng trị nó lại tìm chị ấy tiếp
2946,Xa hoi phuc tap. Nhin mat then nay nguy hiem do.
2947,Những con đàn bà này ngu vì thèm zai
2948,"Nhìn mặt dì này hiền , phúc hậu nhưng không may gặp người bạn trai vũ phu này."
2949,Tk này ở đâu v mọi ng
2950,tao solo  het .con nguoi xem trong long ko danh gia be ngoai
2951,Cháu trai này nhìn khuôn mặt bất nhân thấy bà
2952,thang cho mat day dap chet me no di  ah hai  loi lam chi cho met
2953,Tội nghiệp chị quá
2954,Thag nay thai do ko tot
2955,đánh mày vậy là còn nhẹ đó!
2956,Cai Thang Cho Nay Lam Gi Bat Nguoi Dap Chet Me No
2957,"Sau này mấy anh che mặt người bị hại lại nha, tội nghiệp chị đó còn phải đi làm, vào nhà máy xí nghiệp bạn bè dèm pha, khó làm việc lắm. Miệng lưỡi người đời không biết được đâu mấy a."
2958,Đập chết mẹ thằng chó đó đi các anh ơi
2959,Toi xem thang nay ma toi dien qua di . toi noi xe ko dinh den chuyen giang ho nua ma thang nay ma co toi o do la toi se pha le cho no vao benh vien cho no biet the nao la con nguoi ma bi danh la nhu the nao .
2960,Nhìn cái mặt là muốn đến
2961,Đanh no chet me no luon a hai oi
2962,gan len hải ...con trai dung cam cua ta
2963,Mặt thằng này ko khá nổi nhìn khốn nạn qúa
2964,Khóc ít thôi khóc nhiều wa mất hình tượng hết mấy nguoi hiền không chụi .đu chụi mấy thằnh âm binh rồi khóc.
2965,Dap chet me no di may a thang mat day
2966,nhìn mặt khờ khờ như nghiện ma túy vậy cả nhà
2967,Lam cc ji danh nguoi ta .di duong thi lo di đii
2968,Danh phu nua roi ma coi ngon co nua chu
2969,Ánh mắt xảo trá
2970,Nhìn cái mặt ông nội nay là muốn tắt cho vài cái
2971,Mẹ thằng lồn đánh cho nó biết mặt luôn a
2972,Ah ay tan nhe qua gap em tac ko co rang úp chao lun nhe
2973,Gap tap chém Chet me no Luon chó an cuc
2974,Tắt camera nằm một đống
2975,Nhin mat thang do la biet no bi tung tung dam no vai dam nua sau may ong hien wa
2976,no đon la cai chăt
2977,Hiệp sĩ Hải là ok nói chuyện rất tế nhị chứ ko như thằng xin
2978,Mặt thằng này làm bao cát bao xõa stress luôn
2979,Cho thằng cho này vào tù cho biết...loại này bắt cho sư tử ăn thịch nó dm...coi mà ức chế vc...gặp tao đập vô mặt của nó ở đó đứng nc vs nó..
2980,Ah Hải nói chiện ok. Còn cha nội kia chưa j đã dong tai động chân rồi. Thằng này có thể là Nguyễn Hải Dương thứ 2 đay nhìn mặt i ta muốn ăn thịt ông kia luôn ak
2981,Hang con gái bỏ ck con theo trai là đeo cứu
2982,"côn đồ lỳ lợm đứng trước bao hiệp sĩ mà cứ trâng trâng tráo tráo, thả nó ra cô gái k có lối thoát. Tắt vi deo và tạm thời dạy cho thằng này bài học."
2983,No hoi a chay xe nay fai hk.can than nha coi chug no dam len.thag do k hut chjch tui thua j cug thua
2984,Mặt thằng này nguy hiểm vl. Có ngày nó biết người như chơi đó. Nhìn ánh mắt nó là biết. K đánh lại đc nhưng nó k biết sợ đâu.
2985,Mặt th chó đó láo ghê...ko có ông hải đứng đó ngăn chắc cmnr..ữ chế vãi
2986,E chúc đội của a có nhiều sức khỏe để giúp cho đời. E Ủng hộ các anh. Đk kênh a để hóng clip mới của a.thằng này thấy cái mặt là chưa biết hối lỗi đâu. Cho nó cãi tạo đi.
2987,Dcmtm đéo có đánh người
2988,Khôn nhờ dạy chiu biết trách ai
2989,Thang cho do kia danh phu nu roi con nhginh cai mac
2990,"Các anh nên nhớ chữ hiệp sĩ nó khác côn đồ lưu manh nó khác nha ! Đừng để chuyện xảy ra như hs tân bình ! Góp ý riêng e thôi xữ sự hoà nhã có tính chuyên nghiệp xíu ,dằn cái nóng xuống"
2991,Côn đồ hây anh hừng
2992,Dập chết mẹ  nó  di a hải
2993,Thái độ vậy sao a hải không cho người đánh chết mẹ nó. Thằng này phải đánh
2994,Đập vỡ mõn nó  thằng này nó  có sợ cc đâu
2995,Tên này có  gương mặt sát nhân
2996,Mặt kên kên láo vl ra
2997,bỏ tù thấy mẹ nó đi
2998,Noi ko phai hay chu ra duong muon quen 1 thang nao do du ngheo hay giau ko quan trong nhung it nhieu nhin guong mat co cam tinh thi moi men ma yeu thuong duoc chu . Chu thang quy nay nhin mat no xach dep toi ko biet toi chiu ko chu dung noi la quen an o nhu vo chong roi no danh thua con no . Lam dan ba ngu thi chiu chu ai biet phai bao ve sao day . Thay no danh thi can ma nhung luc o nha no khoa cua danh ong noi ai can duoc . Doi can duoc chac dem xav di chon lam phuoc thi co ly hon la bao ve
2999,Ko biet mang nhuc sao ma con len YouTube
3000,Đã sai còn cái mặt xl nữa.... Thua thì chung chứ gì căng
3001,Đánh chết mẹ nó luôn anh hải
3002,Gap tui dam cho no chưa
3003,du má con trai ma vu phu
3004,"Hoi xe lam lôn que gi ha may?loai may đanh phu nư thi lam đươc gi?yêu con da gio cơ may liêu chiu nôi mây phut cua anh hiêp si đo?bơi vây co con gai chi sơ con minh găp phai thư như thăng nay ma bo thi thương vương thi tôi.thăng nay tôi khuyên con gai phu nư nhin gio măt co găp cung đưng quen biêt vi ngay ca cha,me no thây con minh đanh ngươi cung không can ngăn thi cac ban tư hiêu kêt qua da sao nêu cac ban quen no rôi đây."
3005,Thằng này cho tử hình tốt nhất
3006,nhìn cái bản mặt nó là mún cho ăn dép lào rồi.
3007,Ko phải tự nhiên người ta làm z đâu..đàn bà con gái nhiu người củng ác lắm
3008,"Đ/m thằng thì người yêu đéo có... ước ao vcl ,kiếm đc cô vk thế kia là hp lắm rồi, đéo biết trân trọng d/m còn đánh người ta...Theo tôi cứ phải giao thằng này cho 5 tên bán gà cho nó thông đít chết cụ mày  đi .. !!!"
3009,Gặp thứ này đánh chetme đó đi
3010,Đâm thêm mấy cái nữa
3011,"Thằng k hó nó còn vênh mặt,hù dọa đập thấy mẹ nó cho nó chừa,"
3012,Goánh chết mịa nó
3013,Đấm nhẹ qá
3014,Em trai co thuong anh ko hay de no giet chet het
3015,Dap chet me no di
3016,Cái lol ma súc sinh
3017,Đánh gì có 1 cái vậy
3018,"Gap t chay vo nha lay cai dao chem 1 thang ,do cha may thabg kia dam vo ,hiep si lon dm thay dm thay mat thang hai la t muon an com tu roi ,"
3019,thằng này nhìn mắt dạy lắm vỗ rớt mồm nó mới sợ
